source,connection,frame size,aspect,total bit rate,audio bit rate,video bit rate,frames per second,key frames per minute,h264 profile
Apple HLS Guilde,cellular,480x320(for meta data image),,64kpbs,,,,,
Apple HLS Guilde,cellular,"480x224(maybe typo, as document revision 2011-04-01)",16:9,150kbps,,110kbps,12~15,30,baseline
Apple HLS Guilde,cellular,"480x224(maybe typo, as document revision 2011-04-01)",16:9,240kbps,,200kbps,12~15,45,baseline
Apple HLS Guilde,cellular,"480x224(maybe typo, as document revision 2011-04-01)",16:9,440kbps,,400kbps,29.97,90,baseline
Apple HLS Guilde,wifi,640x360,16:9,640kbps,,600kbps,29.97,90,baseline
Apple HLS Guilde,cellular,480x320(for meta data image),,64kbps,,,,,
Apple HLS Guilde,cellular,480x300,4:3,150kbps,,110kbps,12~15,30,baseline
Apple HLS Guilde,cellular,480x300,4:3,240kbps,,200kbps,12~15,45,baseline
Apple HLS Guilde,cellular,480x300,4:3,440kbps,,400kbps,29.97,90,baseline
Apple HLS Guilde,wifi,640x480,4:3,640kbps,,600kbps,29.97,90,baseline
Apple HLS Guilde,wifi,640x360,16:9,1240kbps,,1200kbps,29.97,90,baseline
Apple HLS Guilde,wifi,960x540,16:9,1840kbps,,1800kbps,29.97,90,main
Apple HLS Guilde,wifi,1280x720,16:9,2540kbps,,1500kbps,29.97,90,main
Apple HLS Guilde,wifi,1280x720,16:9,4540kbps,,4500kbps,29.97,90,main
Apple HLS Guilde,wifi,640x480,4:3,1240kbps,,1200kbps,29.97,90,main
Apple HLS Guilde,wifi,960x720,4:3,1840kbps,,1800kbps,29.97,90,main
Apple HLS Guilde,wifi,9600x720,4:3,2540kbps,,1500kbps,29.97,90,main
Apple HLS Guilde,wifi,1280x960,4:3,4540kbps,,4500kbps,29.97,90,main
Final cut pro X,,,,2kbps(silence),,,,,
Final cut pro X,cellular low,428x240,16:9,,,156kbps,23.98,,baseline
Final cut pro X,cellular high,428x240,16:9,,,275kbps,23.98,,baseline
Final cut pro X,wifi low,640x360,16:9,,,631kbps,23.98,,main
Final cut pro X,wifi high,640x360,16:9,,,834kbps,23.98,,main
Final cut pro X,broadband low,640x360,16:9,,,966kbps,23.98,,main
Final cut pro X,broadband high,960x540,16:9,,,1695kbps,23.98,,main
Sorenson Squeeze 8,109Kb,384x288,4:3,,,131kbps,10,,baseline
Sorenson Squeeze 8,229Kb,384x288,4:3,400kbps,96kbps,265kbps,15,,baseline
Sorenson Squeeze 8,480Kb,384x288,4:3,600kbps,96kbps,542kbps,30,,baseline
Sorenson Squeeze 8,700Kb,480x360,4:3,,,681kbps,30,,baseline
Sorenson Squeeze 8,1100Kb,640x480,4:3,,,1015kbps,30,,main
Sorenson Squeeze 8,1500Kb,640x480,4:3,,,1352kbps,30,,main
www.ioncannon.net,cell_16x9_150k  for iPad,400x224,16:9,150kbps,48kbps,110kbps,10,,
www.ioncannon.net,cell_16x9_240k  for iPad,400x224,16:9,240kbps,48kbps,200kbps,15,,
www.ioncannon.net,cell_16x9_440k  for iPad,400x224,16:9,440kbps,48kbps,400kbps,30,,
www.ioncannon.net,wifi_16x9_640k  for iPad,640x360,16:9,640kbps,48kbps,600kbps,30,,
www.ioncannon.net,wifi_16x9_840k  for iPad,640x360,16:9,840kbps,48kbps,800kbps,30,,
www.ioncannon.net,wifi_16x9_1240k for iPad,640x360,16:9,1240kbps,48kbps,1200kbps,30,,
www.ioncannon.net,cell_4x3_150k   for iPad,400x300,4:3,150kbps,48kbps,110kbps,10,,
www.ioncannon.net,cell_4x3_240k   for iPad,400x300,4:3,240kbps,48kbps,200kbps,15,,
www.ioncannon.net,cell_4x3_440k   for iPad,400x300,4:3,440kbps,48kbps,400kbps,30,,
www.ioncannon.net,wifi_4x3_640k   for iPad,640x480,4:3,640kbps,48kbps,600kbps,30,,
www.ioncannon.net,wifi_4x3_840k   for iPad,640x480,4:3,840kbps,48kbps,800kbps,30,,
www.ioncannon.net,wifi_4x3_1240k  for iPad,640x480,4:3,1240kbps,48kbps,1200kbps,30,,
www.ioncannon.net,cell_16x9_150k  for iPhone,400x224,16:9,150kbps,48kbps,110kbps,10,,
www.ioncannon.net,cell_16x9_240k  for iPhone,400x224,16:9,240kbps,48kbps,200kbps,15,,
www.ioncannon.net,wifi_16x9_440k  for iPhone,400x224,16:9,440kbps,48kbps,400kbps,30,,
www.ioncannon.net,wifi_16x9_640k  for iPhone,400x224,16:9,640kbps,48kbps,600kbps,30,,
www.ioncannon.net,cell_4x3_150k   for iPhone,400x300,4:3,150kbps,48kbps,110kbps,10,,
www.ioncannon.net,cell_4x3_240k   for iPhone,400x300,4:3,240kbps,48kbps,200kbps,15,,
www.ioncannon.net,wifi_4x3_440k   for iPhone,400x300,4:3,440kbps,48kbps,400kbps,30,,
www.ioncannon.net,wifi_4x3_640k   for iPhone,400x300,4:3,640kbps,48kbps,600kbps,30,,
wowza.com+encoding.com,400,320x180,16:9,400kbps,128kbps,270kbps,24,48,
wowza.com+encoding.com,700,"420x270(not standard aspect, http://dwz.cn/preset )",16:9,700kbps,128kbps,570kbps,24,48,
wowza.com+encoding.com,1100,720x406,16:9,1100kbps,128kbps,1000kbps,24,48,
wowza.com+encoding.com,1300,1024x576,16:9,1300kbps,128kbps,1200kbps,24,48,
wowza.com+encoding.com,1500,1080x608,16:9,1500kbps,128kbps,1400kbps,24,48,